SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1691134	484	484
1692162	443	443
1693170	481	481
1694196	506	506
1695200	531	531
1696213	489	489
1697222	479	479
1698229	500	500
1699230	481	481
1700242	485	485
1701243	488	488
1702248	488	488
1703262	507	507
1704275	464	464
1705283	506	506
1706301	510	510
1707319	511	511
1708372	463	463
1709386	474	474
1710393	502	502
1711421	483	483
1712432	501	501
1713450	471	471
1714464	461	461
1715487	480	480
1716522	528	528
1717536	523	523
1718577	510	510
1719593	518	518
1720601	505	505
1721625	480	480
1722658	485	485
1723677	496	496
1724686	449	449
1725758	470	470
1726855	473	473
1727862	497	497
1728881	485	485
1729915	458	458
1730916	488	488
1731926	486	486
1732939	483	483
1733949	542	542
1734978	493	493
1735994	508	508
1737137	495	495
1738211	499	499
1739252	487	487
1740264	535	535
1741280	479	479
1742333	502	502
1743337	502	502
1744355	495	495
1745400	516	516
1746414	511	511
1747436	521	521
1748444	467	467
1749475	496	496
1750478	501	501
1751482	524	524
1752529	490	490
1753571	476	476
1754591	571	571
1755604	529	529
1756615	499	499
1757622	514	514
1758667	501	501
1759702	486	486
1760730	515	515
1761744	498	498
1762749	573	573
1763758	508	508
1764773	473	473
1765779	531	531
1766796	486	486
1767812	477	477
1768836	482	482
1769852	486	486
1770894	502	502
1771898	547	547
1772924	513	513
1773982	531	531
1774989	529	529
1775995	494	494
1777004	463	463
1778012	486	486
1779024	498	498
1780039	503	503
1781060	507	507
1782062	512	512
1783091	484	484
1784119	495	495
1785199	506	506
1786235	495	495
1787243	491	491
1788263	506	506
1789273	473	473
1790279	505	505
1791285	512	512
1792297	527	527
1793310	561	561
1794314	512	512
1795354	465	465
1796367	495	495
1797382	514	514
1798385	516	516
1799397	476	476
1800450	521	521
1801487	567	567
1802501	503	503
1803502	514	514
1804601	484	484
1805603	530	530
1806619	498	498
1807632	479	479
1808634	489	489
1809663	494	494
1810689	493	493
1811701	487	487
1812749	492	492
1813754	526	526
1814760	525	525
1815910	504	504
1816911	558	558
1817943	513	513
1818949	538	538
1819967	472	472
1820975	509	509
1821984	494	494
